Box #,Time Taken (secs),Remarks
1,24,
2,38,
3,23,
4,37,
5,38,
6,40,Disturbance during process
7,20,
8,28,
9,25,
10,23,
11,30,
12,25,
13,27,
14,31,
15,31,
16,35,
17,25,
18,29,
19,32,
20,25,
21,36,
22,28,
23,40,Disturbance during process
24,42,Disturbance during process
25,29,
26,38,
27,34,
28,43,Disturbance during process
29,43,Disturbance during process
30,27,
31,114,Bundling time included
32,57,Bundling time included
33,44,
34,30,
35,25,
,,
OBSERVATION,,
,,
"Significant Time Variation: The time taken per box varies greatly, ranging from 20 seconds to 114 seconds, indicating inconsistencies in the process.",,
"Impact of Disturbances: Several instances where the process was disturbed led to longer packing times (40+ seconds), affecting overall efficiency.",,
"Manual Bundling Increases Time: When Evan had to bundle the pouches himself, it significantly increased the time taken (114 seconds or 1.54 minutes and 57 seconds in two instances).",,
"Fastest Packing Benchmark: Some boxes were packed in as little as 20-25 seconds, suggesting an efficiency target for other packs.",,
"Inconsistent Workflow: The workflow is not standardized, leading to variations in execution speed.",,
Potential for Process Optimization: Pre-bundling the packets before the packing process could reduce handling time and improve consistency.,,
Need to Minimize Disturbances: Frequent interruptions disrupt workflow; an optimized workstation layout and fewer distractions can help stabilize packing times.,,
Automation Opportunity: Introducing semi-automated carton sealers or automated bundling stations could reduce manual effort and speed up packing.,,
"Workstation Efficiency: Reducing unnecessary movements, such as reaching for materials, could further improve packing speed.",,
"Target for Standardization: Establishing a best practice for packing (e.g., predefined handling sequences) could help reduce the variability between pack times.",,
,,
,,
Process Optimization Suggestion: Streamlining the Packing Process,,
"To enhance efficiency in the carton packing process, we suggest implementing a streamlined approach that will significantly reduce non-productive time and improve workflow.",,
,,
Proposed Change:,,
"Instead of having two employees manually bundling the pouches into sets of five and then placing them into a box, position a carton directly under the sealing machine and assign one person to feed 25 pouches directly onto the sealing conveyor belt.",,
,,
Why This is a Better Approach:,,
Eliminates Unnecessary Handling:,,
"Currently, two employees are engaged in bundling the packets before placing them into the box. This additional step adds time without adding value to the process.",,
"With the new setup, packets can move directly from the sealing machine into the box, removing the need for intermediate bundling.",,
,,
Reduces Non-Productive Time:,,
Time spent by employees manually bundling and arranging pouches inside the box is a non-value-added activity.,,
"By feeding packets directly into the conveyor belt, we eliminate unnecessary handling and speed up the packing process.",,
,,
Increases Throughput & Efficiency:,,
"The sealing machine already processes packets sequentially; this new method aligns with its output, reducing idle time.",,
"The carton can be filled faster and more consistently, leading to smoother workflow management.",,
,,
Reduces Bottlenecks & Labor Dependence:,,
"By automating the movement of packets into the box, we reduce manual workload, allowing employees to focus on more critical tasks.",,
"This frees up resources that can be redirected to other areas, improving overall warehouse efficiency.",,
,,
Estimated Impact:,,
Reduction in wasted time: Eliminates delays from manual bundling.,,
Faster box filling: Packets move directly from the sealing line into the carton.,,
More efficient workforce allocation: Frees up at least one employee for other tasks.,,
,,
,,
Final Outtake: ,,
1. Reduce wasted effort,,
2. Improve productivity,,
3. Enhance overall operational efficiency ,,
